Instance	Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
1	1	96	95	96	95	95	95	96	95	94	96	97	96	96
1	10	95	93	92	92	92	90	94	93	90	94	91	94	92
1	100	77	76	82	78	67	66	85	81	68	81	68	69	63
1	1000	46	43	47	48	31	35	52	48	39	45	37	40	42
1	10000	40	40	39	19	7	32	47	42	34	45	33	39	42
2	1	96	96	94	96	96	96	96	96	97	95	96	96	95
2	10	93	91	91	92	89	90	93	94	93	94	91	93	93
2	100	76	71	80	80	72	70	81	83	76	84	61	62	60
2	1000	48	41	57	46	30	38	44	44	40	49	43	42	44
2	10000	39	35	36	26	6	32	40	40	34	33	40	38	42
3	1	95	96	96	95	94	96	96	96	95	95	95	95	93
3	10	92	92	93	92	91	92	94	93	89	94	92	94	91
3	100	77	75	80	81	70	70	83	80	68	82	75	69	66
3	1000	48	47	50	41	36	39	42	45	40	44	45	37	45
3	10000	40	39	31	14	12	34	38	42	33	31	38	33	38
4	1	96	94	95	95	95	94	94	95	96	95	95	95	96
4	10	94	93	92	92	90	90	93	93	92	93	92	93	93
4	100	76	73	79	83	67	71	80	83	72	78	67	67	71
4	1000	41	44	47	42	34	39	42	63	41	42	39	46	43
4	10000	37	41	29	27	7	35	41	35	32	33	38	39	41
5	1	95	96	95	93	96	94	96	95	96	96	95	94	95
5	10	93	91	93	90	92	89	94	93	92	93	93	94	93
5	100	77	73	79	76	69	70	79	84	71	79	73	70	62
5	1000	50	47	40	42	28	33	46	47	45	41	42	44	44
5	10000	47	43	35	31	8	31	42	39	40	28	39	39	38
6	1	95	96	95	96	96	96	95	96	96	96	96	95	95
6	10	94	92	92	93	90	91	94	92	94	93	91	93	93
6	100	78	72	81	77	71	70	84	78	73	83	70	73	60
6	1000	54	43	54	38	27	36	41	43	41	45	46	43	43
6	10000	37	39	35	32	8	34	35	38	35	28	41	38	41
7	1	96	95	96	96	95	95	95	95	96	96	96	96	94
7	10	94	92	92	93	92	92	94	92	90	94	92	93	92
7	100	76	72	80	77	73	71	81	79	70	81	68	60	60
7	1000	50	46	51	46	34	37	45	47	39	45	43	43	43
7	10000	47	38	28	30	13	32	40	42	35	38	37	40	38
8	1	97	96	96	94	96	96	95	95	95	95	95	95	96
8	10	95	93	93	92	89	91	93	93	91	94	92	94	92
8	100	77	76	78	79	66	66	82	85	70	75	63	73	58
8	1000	46	46	46	43	32	38	42	49	45	41	36	43	42
