Instance	Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
1	1	95	92	94	93	93	94	94	93	91	93	95	95	92
1	10	92	90	83	85	89	90	90	90	87	91	89	92	89
1	100	74	71	54	38	67	64	73	77	70	73	66	65	59
1	1000	39	44	23	21	36	38	46	46	41	41	44	47	44
1	10000	37	43	2	0	22	34	41	43	32	31	41	41	37
2	1	94	93	91	94	93	94	91	94	93	93	92	94	94
2	10	92	90	84	85	89	87	90	92	90	90	88	91	90
2	100	74	70	54	45	64	62	74	78	70	81	61	65	63
2	1000	44	45	21	19	34	44	47	41	38	44	42	45	46
2	10000	42	39	3	0	14	40	46	37	31	33	34	43	41
3	1	94	92	94	94	94	94	94	94	93	94	93	92	93
3	10	91	88	88	86	88	89	92	90	87	92	89	91	89
3	100	73	71	59	40	69	66	79	77	68	70	63	59	66
3	1000	44	43	26	20	38	39	46	43	38	39	45	48	35
3	10000	40	34	6	9	22	35	43	39	30	33	44	40	32
4	1	94	92	93	92	92	93	91	93	93	94	93	93	93
4	10	90	90	85	83	88	86	89	91	89	89	88	91	89
4	100	71	70	57	33	65	65	76	81	62	74	67	56	62
4	1000	44	40	27	14	36	40	55	47	41	41	42	44	41
4	10000	41	37	0	0	14	39	45	42	36	27	39	44	38
5	1	93	93	93	91	94	92	94	94	93	93	93	93	94
5	10	92	90	87	82	90	90	91	92	89	91	86	89	91
5	100	72	70	61	51	66	67	76	75	67	72	64	55	60
5	1000	47	46	23	27	32	39	43	46	45	41	39	36	42
5	10000	37	35	3	6	19	34	39	42	38	33	36	33	39
6	1	95	94	93	95	93	92	93	95	93	94	94	94	94
6	10	91	92	85	87	88	89	88	91	90	92	88	91	92
6	100	72	70	46	36	68	65	77	74	65	76	63	77	57
6	1000	43	43	26	22	38	40	42	47	39	43	43	36	40
6	10000	39	41	0	0	15	33	38	45	33	28	41	35	40
7	1	93	95	94	93	93	95	94	94	93	94	94	93	91
7	10	90	89	84	86	88	89	92	92	90	90	89	92	90
7	100	72	68	57	47	67	65	81	78	69	78	64	60	61
7	1000	45	47	27	29	33	37	53	62	40	43	42	41	47
7	10000	44	42	0	2	20	33	45	45	33	32	39	40	44
8	1	95	94	93	94	93	93	94	92	93	93	94	93	93
8	10	92	91	87	85	88	89	91	91	89	89	88	92	90
8	100	74	69	61	32	64	69	77	82	70	79	61	62	62
8	1000	41	43	28	21	33	43	50	42	47	45	47	44	44
8	10000	36	40	5	6	26	39	42	35	36	32	44	42	40
9	1	93	94	94	92	93	92	93	92	93	94	94	94	93
9	10	90	90	86	83	87	87	91	91	88	92	91	90	88
9	100	72	70	62	33	67	66	75	77	68	69	65	64	62
9	1000	46	41	26	18	34	44	45	43	39	44	45	43	41
9	10000	36	38	2	0	21	42	41	41	35	37	42	37	39
10	1	95	94	93	93	93	93	94	92	94	93	95	93	93
10	10	92	89	85	85	88	90	89	88	91	90	91	91	90
10	100	72	69	46	49	70	62	83	74	71	74	58	62	59
10	1000	43	41	22	24	32	36	39	41	38	46	42	44	43
10	10000	43	40	0	0	18	32	35	39	31	35	38	40	39
11	1	94	94	93	93	93	94	92	95	92	95	93	94	92
11	10	91	90	87	85	90	89	89	91	89	91	90	90	88
11	100	70	72	51	46	59	65	74	79	67	79	62	60	67
11	1000	46	38	30	25	32	41	47	49	40	38	43	43	46
11	10000	42	35	9	5	19	38	45	42	38	27	39	39	45
12	1	94	94	93	93	94	94	94	93	93	94	94	95	93
12	10	92	90	84	84	90	90	92	90	89	91	88	93	90
12	100	73	71	49	39	69	63	78	79	69	72	63	60	57
12	1000	48	47	20	19	36	43	47	46	42	40	42	41	45
12	10000	43	42	0	3	22	37	43	40	30	29	39	35	42
13	1	94	93	94	93	94	95	93	93	92	93	93	92	92
13	10	92	91	86	85	91	91	92	91	91	92	90	90	90
13	100	72	69	56	45	65	69	78	74	68	75	63	60	65
13	1000	41	45	31	24	33	39	42	43	40	45	42	41	38
13	10000	37	37	0	0	15	35	34	39	38	34	39	36	33
14	1	93	94	94	94	94	94	93	93	92	92	94	94	93
14	10	91	88	86	86	88	89	91	92	88	92	90	92	90
14	100	70	67	55	51	65	67	76	69	66	73	62	60	62
14	1000	44	43	23	22	36	40	43	44	35	46	42	43	41
14	10000	38	40	0	3	19	33	40	42	27	34	42	37	38
15	1	93	93	94	93	94	94	94	94	94	93	92	91	93
15	10	91	89	87	87	88	88	90	91	89	91	90	89	88
15	100	68	67	56	53	63	64	84	80	68	73	61	57	61
15	1000	45	48	23	30	33	37	46	44	42	49	44	44	42
15	10000	42	43	0	3	21	35	42	38	37	34	40	41	41
16	1	94	94	93	93	92	94	94	94	92	93	94	94	94
16	10	91	89	85	82	88	88	89	89	89	91	89	88	89
16	100	72	68	58	45	69	66	77	78	69	78	65	56	58
16	1000	41	42	26	18	27	42	45	47	43	43	46	41	40
16	10000	38	38	4	5	13	39	39	40	39	29	40	38	37
17	1	93	93	91	92	94	93	94	90	94	93	92	93	93
17	10	90	90	82	85	88	89	90	90	90	91	89	88	92
17	100	73	69	52	48	66	70	76	78	69	73	67	63	62
17	1000	50	42	17	32	33	45	45	43	39	44	42	43	43
17	10000	35	38	3	5	18	40	38	39	36	38	36	38	41
18	1	92	94	92	92	94	94	93	93	91	94	94	92	94
18	10	89	88	84	86	87	90	91	90	88	90	89	90	91
18	100	67	67	51	42	61	67	81	74	64	72	62	66	59
18	1000	45	42	26	26	28	37	46	45	36	41	38	43	47
18	10000	40	41	0	0	14	35	39	38	34	30	35	42	40
19	1	93	94	94	94	92	94	93	93	92	93	93	94	93
19	10	91	88	84	86	90	89	91	92	91	90	92	90	90
19	100	70	70	57	41	71	65	79	78	65	66	66	56	56
19	1000	47	48	28	21	38	44	46	40	36	43	42	41	39
19	10000	42	42	6	0	17	40	42	38	32	27	36	38	37
20	1	93	95	93	93	93	94	94	95	94	94	92	92	95
20	10	91	91	84	85	88	87	90	91	88	90	88	90	90
20	100	71	71	60	45	65	65	75	76	66	70	61	63	56
20	1000	46	43	24	23	38	40	48	41	42	50	43	44	41
20	10000	41	39	5	3	20	35	40	37	39	38	39	38	39
21	1	94	94	92	92	93	93	92	93	93	94	94	94	92
21	10	91	91	85	86	89	85	90	91	90	90	89	90	89
21	100	72	70	54	46	67	67	83	79	73	75	63	59	57
21	1000	41	44	22	20	30	38	42	45	42	40	39	43	38
21	10000	40	40	5	0	24	36	37	41	37	38	38	40	32
22	1	94	93	93	93	94	93	94	94	93	94	94	93	93
22	10	92	91	84	84	91	88	91	91	90	91	91	91	89
22	100	70	69	57	45	66	64	77	76	69	74	62	66	59
22	1000	41	42	23	16	34	41	46	44	37	43	45	43	44
22	10000	38	34	3	0	17	37	40	42	30	37	40	40	41
23	1	95	95	94	94	91	92	92	94	95	93	93	95	92
23	10	91	91	87	83	88	90	91	90	88	90	89	91	90
