Instance	Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
1	1	94	97	96	95	94	95	96	94	96	95	95	96	96
1	10	92	88	94	94	94	93	93	93	92	95	90	89	91
1	100	78	67	85	81	79	74	80	81	82	89	59	51	49
1	1000	12	4	47	40	40	9	20	43	26	45	9	2	0
1	10000	0	0	0	0	0	0	0	31	0	0	0	0	0
2	1	96	96	95	95	96	96	95	95	95	97	96	95	95
2	10	95	87	94	95	94	92	93	93	94	95	90	89	89
2	100	77	64	81	82	80	80	81	84	84	85	59	44	44
2	1000	10	4	45	43	37	14	22	29	28	50	0	0	0
2	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	96	96	96	94	93	95	95	95	94	95	95	94	97
3	10	94	89	95	94	93	92	93	93	93	95	91	89	91
3	100	80	68	84	85	83	79	84	78	87	85	62	56	46
3	1000	10	5	36	34	40	17	19	33	37	42	2	2	2
3	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	96	96	95	96	96	94	96	95	95	96	95	95	96
4	10	94	89	94	96	93	92	93	93	93	95	90	91	89
4	100	76	68	82	84	83	78	83	82	85	85	62	58	43
4	1000	10	8	33	32	47	15	55	19	37	40	2	2	2
4	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	96	95	96	96	96	95	93	95	95	96	95	96	96
5	10	94	91	95	94	94	94	93	93	94	94	90	90	90
5	100	77	67	86	85	82	82	78	83	84	80	59	49	49
5	1000	14	7	35	35	47	20	24	25	28	25	0	2	3
5	10000	0	0	0	0	3	0	0	0	0	0	0	0	0
6	1	96	96	96	94	94	96	96	96	96	97	96	96	96
6	10	94	88	95	93	94	94	93	93	94	93	91	88	90
6	100	75	62	83	80	90	81	84	77	79	80	59	52	44
6	1000	12	4	55	30	36	17	27	20	24	38	4	2	0
6	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	95	96	95	95	96	95	95	95	97	96	95	95	95
7	10	93	92	93	95	94	93	92	93	94	94	90	88	89
7	100	75	67	83	86	82	79	79	84	83	84	57	48	45
7	1000	10	7	41	37	43	20	29	31	24	28	0	0	4
7	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1	95	96	96	97	96	95	96	95	95	95	94	95	95
8	10	94	91	95	95	93	93	91	93	93	93	90	90	90
8	100	78	72	88	87	78	80	77	82	84	84	63	52	38
8	1000	11	10	47	49	40	31	37	22	19	38	4	0	0
8	10000	0	0	0	5	0	0	0	0	0	0	0	0	0
9	1	96	96	96	96	96	96	94	95	96	95	96	95	95
