Instance	Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
1	1	2126	2052	2104	2086	2000	2114	2102	2078	2146	2082	1982	1992	2008
1	10	1968	1642	1986	2042	2000	1772	1648	1602	2030	2050	1750	1816	1714
1	100	1154	812	1352	1300	1318	732	408	368	1138	1312	710	874	670
1	1000	116	106	316	482	342	100	4	4	300	600	202	100	24
1	10000	100	100	0	0	0	0	0	0	300	600	200	100	0
2	1	2080	2098	2132	2102	2102	2168	2030	1920	2098	2100	2210	2106	2110
2	10	1958	1740	1972	2010	2068	1780	1704	1648	1940	2048	1784	1844	1832
2	100	1058	918	1636	1510	1316	750	416	372	1134	1388	690	670	674
2	1000	208	68	608	160	238	30	2	0	400	512	24	102	104
2	10000	200	0	100	0	0	0	0	0	400	500	0	100	100
3	1	2028	2042	2028	2096	2146	2124	2038	2002	2180	2052	2050	2046	2032
3	10	1930	1708	2012	2018	1936	1696	1670	1794	1980	2002	1838	1892	1786
3	100	1118	732	1470	1184	1316	682	480	422	1204	1242	702	724	792
3	1000	132	108	368	184	274	14	4	0	700	400	18	26	300
3	10000	100	100	100	0	0	0	0	0	600	400	0	0	300
4	1	2076	2116	2178	2160	2154	2072	2100	2116	2014	2100	2094	2020	2148
4	10	1912	1820	2090	1960	1970	1792	1682	1736	1918	2016	1792	1786	1818
4	100	1060	884	1440	1318	1386	782	422	440	1026	1214	794	656	754
4	1000	98	66	340	294	306	102	0	0	500	600	200	26	30
4	10000	0	0	100	0	0	0	0	0	500	600	200	0	0
5	1	2130	2102	2132	2112	2158	2056	2154	2172	2104	2114	2004	2002	2086
5	10	1996	1784	2044	1998	1916	1852	1698	1672	1964	1942	1744	1750	1726
5	100	1044	890	1440	1228	1330	826	466	474	1094	1236	636	798	612
5	1000	138	110	180	182	268	10	100	2	500	400	108	100	34
5	10000	100	100	0	100	0	0	100	0	500	400	100	100	0
6	1	2148	2118	2178	2174	1992	2170	2076	2174	2042	2208	2084	2142	2068
6	10	2000	1810	2032	2038	1940	1762	1652	1686	1962	2028	1850	1832	1724
6	100	962	916	1204	1330	1286	622	476	396	1084	1170	770	714	716
6	1000	116	200	272	372	284	18	0	2	500	400	102	100	44
6	10000	0	200	0	100	0	0	0	0	500	400	100	100	0
7	1	2150	2174	2036	2064	2158	2098	2084	2040	2190	2156	2140	2150	2044
7	10	1946	1608	1984	2000	1998	1678	1728	1722	2014	1968	1820	1804	1756
7	100	1078	794	1322	1130	1282	594	408	366	1126	1306	778	744	710
7	1000	152	56	200	226	262	20	14	0	300	500	100	104	100
7	10000	100	0	0	100	0	0	0	0	300	500	100	100	100
8	1	2086	2142	2122	2060	2110	2138	2100	2056	2082	2182	2140	2134	2112
8	10	1988	1780	2026	1994	1948	1952	1692	1642	1948	2006	1920	1868	1706
8	100	1100	838	1252	1240	1314	790	302	402	1134	1216	806	814	626
8	1000	134	42	226	170	262	26	0	4	500	500	100	34	100
8	10000	100	0	0	0	100	0	0	0	500	500	100	0	100
9	1	2118	2134	2130	1956	2068	2132	2118	1948	2108	2118	2084	2158	1888
9	10	1830	1716	2042	1914	1974	1772	1590	1626	1950	1920	1780	1894	1730
9	100	1064	838	1388	1182	1372	672	316	318	1104	1370	722	730	798
9	1000	134	66	402	392	366	16	2	6	600	408	44	28	200
9	10000	100	0	100	0	0	0	0	0	600	400	0	0	200
10	1	2188	2154	2180	2182	2096	1944	2128	2030	2084	2140	2104	2206	2086
10	10	2048	1682	2002	2018	1906	1818	1634	1618	1852	1908	1864	1694	1738
10	100	1038	938	1420	1262	1360	676	506	388	1088	1250	768	762	622
10	1000	128	200	248	500	322	100	100	0	500	300	200	100	26
10	10000	100	200	0	100	0	0	100	0	500	300	200	100	0
11	1	2124	2062	2114	2062	2194	2092	2016	2010	2036	2084	2128	2058	2122
11	10	2008	1684	2004	1868	1944	1752	1832	1624	1806	1970	1858	1804	1800
11	100	1082	852	1378	1134	1266	752	572	370	1082	1332	674	1108	654
11	1000	130	102	320	198	270	6	100	2	500	418	102	40	20
11	10000	100	100	98	4	0	0	0	0	500	400	100	0	0
12	1	2146	2162	2058	2104	2118	2012	2052	2112	2082	2042	2080	2088	2144
12	10	1980	1706	2052	1998	2060	1788	1712	1674	1890	1962	1796	1806	1774
12	100	1024	862	1470	1230	1298	710	364	390	1076	1154	754	732	686
12	1000	200	52	214	318	242	18	0	0	500	500	102	100	200
12	10000	200	0	100	100	0	0	0	0	500	500	100	100	200
13	1	2242	2090	2042	2046	2178	2152	2082	2160	2152	2080	2112	2066	2048
13	10	2106	1714	1948	2018	1978	1852	1570	1578	1838	1910	1846	1774	1730
13	100	1166	834	1592	1302	1192	802	334	402	1064	960	778	934	614
13	1000	112	52	430	232	282	6	4	4	500	400	22	100	102
13	10000	0	0	0	0	0	0	0	0	500	400	0	100	100
14	1	1912	2158	2100	2072	2042	2162	2068	2218	2076	2024	2146	2140	2190
14	10	1772	1804	2098	2008	1950	1716	1686	1762	1922	1828	1932	1846	1770
14	100	1042	876	1158	1440	1418	686	434	426	1132	946	760	750	686
14	1000	200	200	348	278	358	20	0	22	600	600	20	26	22
14	10000	200	200	0	0	0	0	0	0	500	600	0	0	0
15	1	2088	2116	2144	2118	2088	2126	2150	2168	2112	2098	2072	2100	2116
15	10	1938	1724	2058	2070	1988	1748	1662	1758	1934	1964	1776	1828	1780
15	100	976	692	1248	1520	1278	778	330	402	1002	1082	678	724	736
15	1000	204	102	272	536	236	100	0	2	500	600	24	102	22
15	10000	200	100	100	0	100	0	0	0	500	600	0	100	0
16	1	2140	2070	2070	2096	2188	2046	2054	2092	2090	1960	2144	2102	2068
16	10	1972	1672	2022	2084	2050	1748	1678	1798	1782	1816	1798	1862	1676
16	100	1102	846	1200	1472	1366	840	486	392	1032	1114	732	834	654
16	1000	140	108	232	240	282	26	0	4	300	600	200	108	104
16	10000	100	100	100	0	0	0	0	0	300	500	200	100	100
17	1	2130	2038	2040	2092	2140	2140	2118	2154	2146	2036	2074	2004	2044
17	10	2010	1670	2022	1946	1928	1876	1716	1670	1970	1898	1772	1800	1760
17	100	1118	822	1454	1392	1284	886	420	332	1146	1206	676	790	644
17	1000	134	202	418	402	374	8	0	2	700	570	100	106	100
17	10000	100	200	0	6	0	0	0	0	700	500	100	100	100
18	1	2084	2114	2140	2194	2168	2162	2126	2112	2208	2124	2154	1988	2094
18	10	1984	1762	1842	2092	2030	1764	1694	1694	1878	2034	1798	1720	1774
18	100	1070	842	1222	1390	1186	680	370	440	1134	1192	798	684	720
18	1000	120	104	196	238	312	102	100	2	600	600	200	104	102
18	10000	100	100	100	0	100	100	0	0	500	600	200	100	100
19	1	2214	2116	2020	2122	2138	2082	2128	2122	2078	2062	2148	2202	1994
19	10	1996	1658	1944	1980	1982	1724	1688	1748	1834	1812	1830	1832	1746
19	100	1078	808	1396	1392	1014	762	384	310	1004	1102	776	702	740
19	1000	204	112	544	280	342	100	2	10	300	500	104	200	100
19	10000	200	100	0	100	0	100	0	0	300	500	100	200	100
20	1	2198	2056	2116	2048	2072	2116	2124	2208	2118	2128	2036	2038	2140
20	10	2026	1576	1964	1942	1954	1734	1654	1700	1958	1858	1756	1574	1862
20	100	1044	780	1278	1164	1346	656	350	444	1062	1234	594	782	716
20	1000	110	58	254	464	286	100	2	0	600	500	24	300	26
20	10000	0	0	0	0	0	100	0	0	600	500	0	300	0
21	1	2136	2196	1998	2096	2032	2140	2132	2090	2132	2078	2142	2124	2088
21	10	1992	1728	1932	2034	1962	1756	1666	1674	1794	2038	1794	1892	1806
21	100	1094	688	1570	1156	1242	738	356	472	1048	1280	676	770	716
21	1000	130	106	238	136	350	16	100	0	500	600	104	200	104
21	10000	100	100	0	0	0	0	0	0	500	500	100	200	100
22	1	2128	2110	2140	2160	1998	2128	2182	1998	2134	2144	2118	2010	2088
22	10	2068	1662	2094	1900	1934	1852	1734	1686	1804	1964	1884	1816	1676
22	100	1054	866	1198	1344	1232	744	482	386	1144	1212	754	844	812
22	1000	204	54	208	178	288	100	2	2	700	600	100	200	26
22	10000	200	0	0	0	100	100	0	0	700	600	100	200	0
23	1	2184	2166	2164	2074	2118	2118	2132	2164	2104	2098	2158	2132	2214
23	10	1974	1664	1978	2066	2052	1862	1602	1672	1934	1914	1912	1828	1822
23	100	1094	762	1280	1368	1340	638	392	352	1084	1134	752	624	692
23	1000	92	46	438	216	328	100	4	100	300	500	22	200	20
23	10000	0	0	100	0	0	100	0	0	300	500	0	200	0
24	1	2166	2186	2104	2028	2174	2098	2078	2140	1928	2000	2198	2062	2130
24	10	1992	1848	1946	1992	1984	1826	1566	1684	1796	1948	1886	1804	1800
24	100	1080	850	1370	1390	1304	686	386	340	980	1494	852	630	712
24	1000	204	120	320	288	300	8	0	4	500	700	110	200	30
24	10000	200	100	100	100	0	0	0	0	500	700	100	200	0
25	1	2192	2072	2122	2108	2124	2074	2102	2092	2164	2118	2206	2034	2140
25	10	2010	1616	2016	1924	2014	1764	1716	1580	1984	1984	1842	1774	1738
25	100	1052	872	1582	1334	1264	864	364	404	1056	1232	698	816	718
25	1000	118	100	320	426	220	32	2	0	400	496	100	102	104
25	10000	100	100	100	0	0	0	0	0	400	300	100	100	100
26	1	2188	2146	2164	2148	1880	2172	2134	2032	2092	2102	2076	2110	2100
26	10	1944	1790	1990	1968	1866	1788	1738	1516	1912	2070	1880	1862	1662
26	100	1068	760	1240	1256	1222	770	330	402	1152	1222	740	758	786
26	1000	214	62	266	284	272	96	0	24	400	800	46	104	300
26	10000	200	0	100	0	0	0	0	0	400	700	0	100	300
27	1	2176	1948	2128	2014	2090	2072	2032	2062	2078	2126	2152	2160	2112
27	10	1924	1736	2004	1976	1974	1780	1740	1710	1942	1976	1834	1810	1750
27	100	1012	876	1524	1188	1202	716	414	302	1094	1192	644	734	866
27	1000	118	106	456	212	258	2	6	2	500	400	100	100	300
27	10000	100	100	0	0	100	0	0	0	500	400	100	100	300
28	1	2076	2178	1968	2094	2148	2132	2084	2130	2108	2162	2108	2004	2112
28	10	1898	1708	1892	1964	1926	1754	1706	1612	1912	1972	1738	1770	1868
28	100	1050	826	1140	1246	1262	712	364	438	1074	1330	748	792	788
28	1000	206	108	280	294	324	14	6	6	500	400	42	108	200
28	10000	200	100	100	100	0	0	0	0	500	400	0	100	200
29	1	2146	2078	2056	2062	2018	2222	2100	2164	2130	2074	2156	2062	2120
29	10	2014	1786	1990	2000	1976	1770	1736	1718	1986	1980	1860	1662	1728
29	100	1064	790	1370	1330	1220	544	362	356	1286	1502	702	732	658
29	1000	128	200	360	260	268	38	0	4	600	500	104	110	300
29	10000	100	200	0	0	0	0	0	0	600	400	100	100	300
30	1	2134	2126	2182	2136	2028	2134	2076	2186	2114	2058	2146	2132	2072
30	10	1962	1798	1984	2000	1998	1740	1584	1638	1830	1948	1814	1836	1846
30	100	1054	830	1290	1312	1266	770	282	430	1108	1332	698	688	742
30	1000	94	100	410	334	298	100	0	6	500	300	34	8	22
30	10000	0	100	100	100	0	100	0	0	500	300	0	0	0
31	1	2174	2126	2154	2168	2094	2118	2118	2110	2138	2102	2104	2136	2064
31	10	1948	1698	1916	2074	2044	1842	1648	1704	1872	1956	1876	1816	1628
31	100	1064	888	1324	1296	1284	752	404	432	884	1204	722	730	762
31	1000	110	300	312	340	322	32	4	100	400	500	34	32	110
31	10000	0	300	0	0	0	0	0	100	400	500	0	0	100
32	1	2186	2074	2176	2136	2072	2068	2108	2042	2082	2084	2236	2160	2082
32	10	2066	1632	2022	2030	2006	1744	1592	1580	1822	1962	1936	1604	1722
32	100	1078	858	1492	1646	1358	802	326	322	1032	1128	874	776	662
32	1000	126	110	290	516	360	32	2	0	500	300	34	102	106
32	10000	100	100	100	100	100	0	0	0	500	300	0	100	100
33	1	2032	2148	2130	2072	2152	2118	2110	2168	2090	2146	2156	2066	2070
33	10	1928	1778	2010	1974	1996	1842	1694	1684	1916	1928	1808	1826	1832
33	100	1092	766	1136	1476	1394	702	358	384	906	1052	792	756	698
33	1000	100	48	220	292	374	34	2	2	400	400	102	200	16
33	10000	0	0	0	0	100	0	0	0	400	400	100	200	0
34	1	2030	2100	2146	2058	2082	2172	2042	2100	2144	1936	2018	1914	1964
34	10	1862	1636	2076	2002	1920	1840	1726	1606	1976	1848	1726	1684	1790
34	100	1094	802	1610	1282	1204	668	480	344	1024	1118	744	658	696
34	1000	300	200	274	296	382	10	0	0	600	600	102	300	200
34	10000	300	200	0	0	0	0	0	0	600	600	100	300	200
