Instance	Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
1	1	2074	2102	2088	1908	1954	2121	1966	1952	2028	2085	2006	2005	1974
1	10	1846	1649	1914	1840	1726	1775	1458	1566	1716	1810	1668	1657	1646
1	100	903	743	994	1256	999	559	232	360	690	604	703	647	657
1	1000	86	51	145	262	152	14	1	0	14	55	28	14	25
1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1865	1950	2017	2077	2028	2074	2026	2051	1925	2086	1854	2010	2080
2	10	1673	1523	1885	1988	1872	1655	1528	1618	1491	1803	1736	1648	1703
2	100	900	715	1233	1294	1165	550	317	227	669	796	679	576	706
2	1000	70	55	177	158	261	13	2	0	28	43	18	16	17
2	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	2074	1978	1928	1971	2156	2034	2096	1925	2011	1938	1977	1911	2051
3	10	1915	1634	1903	1928	1875	1661	1558	1448	1540	1706	1705	1582	1631
3	100	818	672	1027	1205	1135	509	253	198	639	851	741	709	747
3	1000	105	47	274	196	218	11	0	0	16	71	34	16	25
3	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	1976	2058	1981	1999	2140	2043	2038	1970	2162	1944	2005	1955	1964
4	10	1856	1611	1910	1935	1973	1662	1443	1494	1814	1754	1774	1592	1721
4	100	904	657	1190	1201	1090	527	240	170	645	877	670	588	747
4	1000	60	46	398	224	172	12	1	0	15	24	29	24	22
4	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	2046	2043	2085	2059	2037	2065	1985	1992	2185	2026	2056	2099	2021
5	10	1885	1597	1856	1906	1747	1677	1413	1480	1702	1800	1680	1655	1654
5	100	936	657	1240	1165	1117	514	274	217	658	777	685	641	655
5	1000	57	44	214	237	236	15	2	0	19	47	23	18	21
5	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1	1962	1947	2015	2004	2063	2003	2062	2057	2000	2017	2021	1955	2011
6	10	1818	1487	1749	1928	1853	1699	1509	1490	1606	1601	1713	1702	1700
6	100	890	702	1120	1092	1124	473	374	257	566	596	670	571	804
6	1000	64	57	231	222	194	4	1	1	7	27	25	22	19
6	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	1963	1981	2031	2077	1962	2056	2108	1986	2055	2033	1979	2040	2035
7	10	1835	1648	1924	1792	1723	1737	1520	1443	1730	1538	1711	1747	1533
7	100	900	697	1368	1176	1068	559	284	280	709	683	648	686	596
7	1000	74	58	183	208	236	7	3	0	22	13	32	31	21
7	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1	1979	1995	1900	2061	2068	2098	1991	1863	2022	2088	2066	2052	1978
8	10	1748	1572	1843	1993	1935	1741	1571	1552	1641	1776	1750	1736	1599
8	100	865	644	1038	1335	1138	531	225	227	576	629	724	604	594
8	1000	70	42	169	190	206	9	0	0	17	9	27	29	19
8	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1	2014	2001	1973	2119	2007	1981	2039	1799	2099	2097	1985	1977	1888
9	10	1812	1541	1792	2012	1835	1713	1487	1428	1713	1876	1625	1588	1626
9	100	910	726	1016	1092	1108	635	286	240	768	691	681	630	629
9	1000	71	48	234	370	164	9	2	4	13	57	24	16	30
9	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1	2061	1948	2117	2017	2143	1907	2166	2019	1994	2069	2014	1989	2043
10	10	1904	1591	1912	1782	1990	1716	1659	1566	1731	1655	1726	1591	1707
10	100	963	754	1194	1070	1167	573	395	318	696	651	572	731	665
10	1000	73	61	238	170	198	4	0	2	14	11	33	23	21
10	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
11	1	2001	2034	2033	2133	2168	2026	2080	2032	2025	1994	2087	2101	2024
