MEANS
Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
1	95.62	95.31	95.23	95.30	95.41	95.28	95.38	95.23	95.51	95.37	95.31	95.41	95.31
10	93.37	92.27	91.87	91.83	91.13	91.16	93.25	93.05	91.69	93.21	91.71	93.06	92.66
100	76.55	73.81	79.98	78.87	70.00	69.56	82.18	81.69	72.17	78.94	67.79	66.91	63.72
1000	44.15	44.42	46.84	43.61	31.30	40.00	46.55	46.92	41.19	45.62	43.28	42.15	42.29
10000	39.81	39.73	31.95	27.01	9.57	35.12	40.27	40.32	34.57	33.93	39.40	38.87	38.84

STDEVS
Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
1	0.78	0.89	0.68	0.80	0.80	0.87	0.77	0.93	0.75	0.86	0.94	0.80	0.82
10	1.00	1.04	1.13	1.13	0.93	1.11	0.93	0.86	1.31	0.96	0.95	1.01	1.01
100	1.51	1.93	2.01	2.42	2.03	2.22	2.61	2.61	2.47	3.27	2.83	3.54	3.76
1000	2.80	2.57	5.20	4.89	4.04	2.76	5.36	5.53	2.35	6.21	2.60	2.99	3.01
10000	3.09	2.75	4.97	5.27	3.10	2.42	2.92	3.01	2.63	4.36	2.59	2.45	2.83
