MEANS
Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
1	93.72	93.17	93.10	93.04	93.17	93.24	93.20	93.12	93.17	93.30	93.33	93.20	93.29
10	91.03	89.48	84.98	84.85	88.36	88.35	90.72	90.59	88.80	90.63	89.02	90.57	90.12
100	71.81	69.12	55.15	43.53	66.48	65.53	77.21	77.07	67.66	74.75	63.31	62.28	60.33
1000	43.94	43.59	24.99	22.14	34.52	40.36	45.38	45.35	41.16	44.08	42.61	42.60	42.19
10000	39.28	39.19	2.74	2.79	18.30	36.68	40.25	40.90	34.42	33.24	38.62	38.63	38.30

STDEVS
Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
1	0.92	1.13	1.06	0.91	0.92	0.93	0.93	0.99	0.86	0.86	0.97	0.95	0.97
10	0.99	1.13	1.47	1.53	1.27	1.28	0.93	1.08	1.19	1.09	1.32	1.08	1.08
100	1.77	1.62	3.43	6.04	2.46	2.18	2.73	2.66	2.81	3.55	2.45	3.64	3.55
1000	2.66	2.60	3.53	4.25	3.11	2.34	4.12	3.82	2.45	3.61	2.35	2.77	2.74
10000	2.79	2.74	2.66	2.80	3.24	2.36	3.08	2.61	2.88	3.91	2.66	2.51	2.99
