MEANS
Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
1	95.70	95.32	95.56	95.41	95.47	95.48	95.35	95.34	95.34	95.53	95.30	95.33	95.34
10	93.99	89.07	94.38	94.31	93.65	93.42	92.52	92.88	93.25	94.28	90.65	90.16	89.08
100	76.99	67.13	84.49	84.11	83.48	80.82	80.97	81.40	82.76	84.41	60.26	52.79	43.12
1000	11.35	6.15	40.19	40.02	40.57	17.35	27.79	32.32	29.47	39.86	2.68	1.00	0.98
10000	0.00	0.00	0.00	0.05	0.35	0.00	0.29	0.76	0.00	0.31	0.00	0.00	0.00

STDEVS
Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
1	0.65	0.89	0.76	0.86	0.82	0.72	0.82	0.85	0.87	0.76	0.80	0.71	0.76
10	0.80	1.39	0.83	0.92	0.81	0.92	0.95	1.09	1.04	0.86	1.13	1.08	1.35
100	1.85	2.94	2.36	2.86	2.62	2.35	2.62	2.41	2.40	2.59	4.15	3.90	5.01
1000	2.60	2.38	8.70	7.97	8.10	3.91	9.74	12.41	7.61	7.55	1.75	1.25	1.41
10000	0.00	0.00	0.00	0.50	1.62	0.00	1.87	6.20	0.00	1.09	0.00	0.00	0.00
