MEANS
Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
1	2119.25	2102.14	2110.57	2097.21	2113.37	2105.80	2093.66	2101.13	2099.31	2103.07	2108.95	2089.60	2100.46
10	1959.27	1714.77	1998.97	1992.81	1965.84	1780.24	1667.80	1664.81	1904.65	1954.24	1803.88	1799.56	1758.77
100	1056.16	835.23	1322.14	1317.27	1274.81	720.20	389.01	388.20	1094.79	1216.91	730.67	754.73	718.20
1000	131.94	114.75	288.34	277.68	294.30	48.48	15.72	14.65	490.83	490.93	93.96	108.71	96.44
10000	83.84	91.92	37.35	41.52	16.16	24.34	8.06	8.08	472.73	471.78	81.82	96.97	85.86

STDEVS
Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
1	69.39	58.27	63.65	62.69	57.92	61.68	50.15	59.47	62.36	61.36	63.28	65.14	57.74
10	66.84	69.48	62.30	67.18	57.09	64.32	65.94	62.58	68.89	77.75	65.74	65.16	54.34
100	49.42	54.02	123.90	102.07	95.05	66.08	64.35	51.29	85.12	119.64	65.29	80.45	56.82
1000	39.17	60.62	100.46	95.60	56.62	40.91	33.16	32.10	115.80	140.48	65.13	81.44	73.86
10000	71.01	80.40	48.60	49.43	37.00	42.99	27.32	27.39	105.77	141.42	76.08	89.73	83.31
