MEANS
Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
1	2045.42	2013.27	2026.55	2027.43	2028.61	2010.39	2015.36	2003.24	2015.70	2025.19	2024.12	2007.97	2014.96
10	1856.55	1586.84	1894.47	1889.32	1857.74	1648.35	1511.90	1507.20	1645.52	1678.24	1728.04	1665.47	1644.40
100	904.68	706.97	1181.79	1156.77	1133.35	522.13	272.01	268.07	653.49	670.10	675.17	647.91	666.11
1000	75.92	48.01	203.87	200.33	215.41	8.76	0.77	0.73	16.30	32.42	26.51	20.36	21.60
10000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

STDEVS
Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
1	68.49	67.75	64.04	66.96	66.32	74.16	68.53	71.71	67.76	65.80	68.41	66.80	60.49
10	76.80	67.59	74.75	77.29	80.61	72.39	66.63	68.67	76.40	104.60	61.43	68.81	59.71
100	50.68	58.99	128.76	109.10	76.11	64.63	61.89	61.23	67.97	91.52	54.54	78.09	56.92
1000	11.90	7.94	70.51	65.44	40.45	3.20	1.10	1.03	5.25	15.16	4.47	4.50	5.16
10000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
